FWER,type,rho,cutoff
0.03585,Algo1 w2 prime,0.17,0.003383846529140542
0.03561,Algo2 w1,0.17,0.003360035562123424
0.03583,Algo2 w2,0.17,0.0033835021016837405
0.03585,Algo2 w2 prime,0.17,0.0033839247479854544
0.03311,Algo1 w1,0.18,0.003125
0.03571,Algo1 w2,0.18,0.0033881607098816785
0.03576,Algo1 w2 prime,0.18,0.003393130588196955
0.03549,Algo2 w1,0.18,0.0033677208414234173
0.03575,Algo2 w2,0.18,0.0033927544692437953
0.03576,Algo2 w2 prime,0.18,0.003393214900727406
0.03235,Algo1 w1,0.19,0.003125
0.03512,Algo1 w2,0.19,0.003397437620069547
0.03516,Algo1 w2 prime,0.19,0.0034026952386965095
0.03487,Algo2 w1,0.19,0.003375591080079906
0.03515,Algo2 w2,0.19,0.0034022847977677817
0.03516,Algo2 w2 prime,0.19,0.0034027860541056706
0.0327,Algo1 w1,0.2,0.003125
0.03527,Algo1 w2,0.2,0.0034069893437045536
0.0353,Algo1 w2 prime,0.2,0.0034125491494729513
0.03504,Algo2 w1,0.2,0.003383649678698011
0.0353,Algo2 w2,0.2,0.00341210155695989
0.0353,Algo2 w2 prime,0.2,0.003412646900519051
0.0313,Algo1 w1,0.21,0.003125
0.03354,Algo1 w2,0.21,0.003416824255296791
0.03355,Algo1 w2 prime,0.21,0.003422701358943105
0.03336,Algo2 w1,0.21,0.0033919001182571087
0.03355,Algo2 w2,0.21,0.0034222135719006648
0.03355,Algo2 w2 prime,0.21,0.0034228065031471533
0.03232,Algo1 w1,0.22,0.003125
0.03512,Algo1 w2,0.22,0.003426951088054968
0.0352,Algo1 w2 prime,0.22,0.003433161296472088
0.03487,Algo2 w1,0.22,0.003400345963781272
0.03519,Algo2 w2,0.22,0.0034326300433918256
0.0352,Algo2 w2 prime,0.22,0.00343327431737634
0.03161,Algo1 w1,0.23,0.003125
0.03434,Algo1 w2,0.23,0.003437378954804232
0.03436,Algo1 w2 prime,0.23,0.0034439388052365737
0.03412,Algo2 w1,0.23,0.0034089908682162803
0.03436,Algo2 w2,0.23,0.0034433605697187673
0.03436,Algo2 w2 prime,0.23,0.003444060213727511
0.03199,Algo1 w1,0.24,0.003125
0.03518,Algo1 w2,0.24,0.003448117370381864
0.03522,Algo1 w2 prime,0.24,0.0034550441667122395
0.03494,Algo2 w1,0.24,0.0034178385765277763
0.03522,Algo2 w2,0.24,0.0034544151699495576
0.03522,Algo2 w2 prime,0.24,0.0034551745024122243
0.03044,Algo1 w1,0.25,0.003125
0.03312,Algo1 w2,0.25,0.003459176273028237
0.03319,Algo1 w2 prime,0.25,0.003466488126869074
0.03281,Algo2 w1,0.25,0.0034268929279076712
0.03318,Algo2 w2,0.25,0.0034658043134989237
0.03319,Algo2 w2 prime,0.25,0.0034666279597530976
0.03131,Algo1 w1,0.26,0.003125
0.03443,Algo1 w2,0.26,0.0034705660604297107
0.03448,Algo1 w2 prime,0.26,0.0034782819245534322
0.03416,Algo2 w1,0.26,0.0034361578687855713
0.03447,Algo2 w2,0.26,0.0034775389288490785
0.03448,Algo2 w2 prime,0.26,0.0034784318560487763
0.02992,Algo1 w1,0.27,0.003125
0.03298,Algo1 w2,0.27,0.0034822976023078977
0.0331,Algo1 w2 prime,0.27,0.0034904373270546623
